"Polling","Council","Ward","Defending","Outgoing councillor","Cause","Remarks","Prev results","C cand","Lab cand","LD cand","Grn cand","UKIP cand","SNP/PC cand","Other cand"
"Postponed","Forest of Dean","Berry Hill","Ind","Michelle Mumford","Resignation","Independent Alliance","tinyurl.com/wuzxsqo",,,,,,,
"Postponed","Gateshead","Birtley","Lab","Neil Weatherley","Death",,"andrewteale.me.uk/i1043",,,,,,,
"Postponed","Glos CC","Winchcombe/Woodmancote","C","Roger Wilson","Death",,"andrewteale.me.uk/i14414",,"Originally scheduled for 2020-03-26",,,,,
"Postponed","Gravesham","Westcourt","Lab","Colin Caller","Death",,"andrewteale.me.uk/i4811",,"Originally scheduled for 2020-04-16",,,,,
"Postponed","Greenwich","Glyndon","Lab","Tonia Ashikodi","Resignation","Conviction","andrewteale.me.uk/i463",,"Originally scheduled for 2020-04-09",,,,,
"Postponed","Hartlepool","Manor House","Brexit","David Mincher","Resignation","Elected as UKIP’ originally 6MR","andrewteale.me.uk/i12164",,,,,,,
"Postponed","Knowsley","Halewood S","Ind","Allan Harvey","Death",,"andrewteale.me.uk/i17945",,,,,,,
"Postponed","Leicester","N Evington","Lab","Jean Khote","Death",,"andrewteale.me.uk/i17492",,"Originally scheduled for 2020-04-16",,,,,
"Postponed","Lewisham","Catford S","Lab","Skip Amrani","Resignation",,"andrewteale.me.uk/i513",,,,,,,
"Postponed","Lewisham","Sydenham","Lab","Tom Copley","Resignation","Now Deputy Mayor of London for Housing","andrewteale.me.uk/i525",,,,,,,
"Postponed","M Sussex","Copthorne/Worth","Ind","Paul Budgen","Resignation",,"andrewteale.me.uk/i5402",,,,,,,
"Postponed","Maidstone","Boxley","C","Wendy Hinder","Death","Originally 6MR","andrewteale.me.uk/i4818",,,,,,,
"Postponed","Milton Keynes","Tattenhoe","C","Gerald Small","Resignation","Originally 6MR","andrewteale.me.uk/i12817",,,,,,,
"Postponed","N Lanarks","Thorniewood","SNP","Steven Bonnar MP","Resignation",,"tinyurl.com/yb6h3mxg",,"Originally scheduled for 2020-05-07",,,,,
"Postponed","N Lincs","Ashby","Lab","John Collinson","Death",,"andrewteale.me.uk/i3006",,"Originally scheduled for 2020-03-26",,,,,
"Postponed","N Lincs","Broughton/Appleby","C","Ivan Glover","Death",,"andrewteale.me.uk/i3013",,"Originally scheduled for 2020-03-26",,,,,
"Postponed","N Lincs","Broughton/Appleby","C","Holly Mumby-Croft MP","Death",,"andrewteale.me.uk/i3013",,"Originally scheduled for 2020-03-26",,,,,
"Postponed","Newcastle (Tyne)","Blakelaw","Lab","Nora Case","Resignation","Originally 6MR","andrewteale.me.uk/i19618",,,,,,,
"Postponed","Newcastle (Tyne)","Byker","Lab","George Allison","Death",,"andrewteale.me.uk/i19619",,,,,,,
"Postponed","Newcastle (Tyne)","Lemington","Lab","Kim McGuinness","Resignation","Originally 6MR","andrewteale.me.uk/i19631",,,,,,,
"Postponed","Newport","Victoria","Lab","Christine Jenkins","Resignation",,"andrewteale.me.uk/i11301",,"Originally scheduled for 2020-04-16",,,,,
"Postponed","Northd","Alnwick","C","Robbie Moore MP","Resignation",,"andrewteale.me.uk/i14296",,,,,,,
"Postponed","NW Leics","Worthington/Breedon","C","David Stevenson","Death",,"andrewteale.me.uk/i17356",,,,,,,
"Postponed","Perth/Kinross","Perth City N","SNP","Dave Doogan MP","Resignation",,"tinyurl.com/wowtjdp",,,,,,,
"Postponed","Perth/Kinross","Perth City S","SNP","Bob Band","Death",,"tinyurl.com/wowtjdp",,,,,,,
"Postponed","Rhondda Cynon Taf","Hawthorn","Lab","Martin Fidler Jones","Resignation",,"andrewteale.me.uk/i11199",,,,,,,
"Postponed","Rushmoor","Fernhill","C","John Woolley","Resignation","Originally 6MR","andrewteale.me.uk/i11966",,,,,,,
"Postponed","S Derbys","Hilton","C","Jason Wittenham","Resignation",,"andrewteale.me.uk/i11156",,,,,,,
"Postponed","S Ribble","St Ambrose","Lab","Ken Jones","Death",,"andrewteale.me.uk/i17387",,,,,,,
"Postponed","Salford","Kersal","Lab","Peter Connor","Death","Originally 6MR","andrewteale.me.uk/i741",,,,,,,
"Postponed","Sandwell","Wednesbury S","Lab","Bob Lloyd","Death",,"andrewteale.me.uk/i1258",,,,,,,
"Postponed","Scottish Borders","Leaderdale/Melrose","SNP","Kevin Drum","Death",,"andrewteale.me.uk/i10624",,,,,,,
"Postponed","Sheffield","Broomhill/Sharrow Vale","Lab","Michelle Cook","Resignation","Originally 6MR","tinyurl.com/wfalwwg",,,,,,,
"Postponed","Sheffield","Manor Castle","Lab","Pad Midgley","Death","COVID-19","tinyurl.com/wfalwwg",,,,,,,
"Postponed","Sheffield","Walkley","Lab","Olivia Blake MP","Resignation","Originally 6MR","tinyurl.com/wfalwwg",,,,,,,
"Postponed","Southend-on-Sea","St Luke’s","Ind","Paul van Looy","Death",,"andrewteale.me.uk/i1493",,,,,,,
"Postponed","Sunderland","Houghton","Lab","Alex Scullion","Resignation","Originally 6MR","andrewteale.me.uk/i1136",,,,,,,
"Postponed","Surrey Heath","Bagshot","LD","Sam Kay","Death",,"tinyurl.com/rtrkq3q",,,,,,,
"Postponed","Swansea","Castle","Lab","Sybil Crouch","Death",,"andrewteale.me.uk/i11421",,"Originally scheduled for 2020-04-09",,,,,
"Postponed","Swindon","Rodbourne Cheney","Lab","Des Moffatt","Death","Originally 6MR","andrewteale.me.uk/i12206",,,,,,,
"Postponed","Telford/Wrekin","Donnington","Lab","Elizabeth Clare","Death",,"andrewteale.me.uk/i16624",,"Originally scheduled for 2020-04-02",,,,,
"Postponed","Test Vy","Chilworth/Nursling/Rownhams","C","Nigel Anderdon","Death",,"tinyurl.com/y3vwbaht",,"Originally scheduled for 2020-03-19",,,,,
"Postponed","Thanet","Newington","Lab","Karen Constantine","Resignation",,"andrewteale.me.uk/i4927",,"Originally scheduled for 2020-03-19",,,,,
"Postponed","Trafford","Priory","Lab","Jane Baugh","Death",,"andrewteale.me.uk/i807",,,,,,,
"Postponed","Trafford","Village","Ind","Ray Bowker","Death","Elected as LD; originally 6MR","andrewteale.me.uk/i813",,,,,,,
"Postponed","Tunbridge Wells","Pantiles/St Mark’s","C","Len Horwood","Death",,"andrewteale.me.uk/i4972",,,,,,,
"Postponed","W Lothian","Livingston S","SNP","Peter Johnson","Resignation",,"tinyurl.com/t9luvv7",,,,,,,
"Postponed","Wakefield","Altofts/Whitwood","Lab","Peter Box","Resignation","Originally 6MR","andrewteale.me.uk/i1422",,,,,,,
"Postponed","Waltham Forest","Hatch Lane","C","Geoff Walker","Death",,"andrewteale.me.uk/i357",,,,,,,
"Postponed","Wilts","By Brook","C","Jane Scott","Resignation","Former council leader","andrewteale.me.uk/i2660",,"Originally scheduled for 2020-04-02",,,,,
"Postponed","Wirral","Moreton W/Saughall Massie","C","Chris Blakeley","Death","Originally 6MR","andrewteale.me.uk/i941",,,,,,,
"Postponed","Wolverhampton","Bushbury S/Low Hill","Lab","Peter Billson","Death","Originally 6MR","andrewteale.me.uk/i1301",,,,,,,
