Polling,Council,ID,Ward,ID,Defending,Outgoing councillor,Cause,Remarks,Prev results,C cand,Lab cand,LD cand,Grn cand,RUK cand,SNP/PC cand,Other cand
,Medway,88,Cuxton/Halling/Riverside,22345,C,Phil Filmer,Death,,andrewteale.me.uk/ietw,,,,,,,
,Merthyr Tydfil,407,Dowlais/Pant,22586,Ind,David Hughes MS,Resignation,Pontypridd Cynon Merthyr (RUK),andrewteale.me.uk/iq0w,,,,,,,
,Neath Port Talbot,408,Trebanos,22691,PC,Rebeca Phillips MS,Resignation,Brycheiniog Tawe Nedd,andrewteale.me.uk/iw3w,,,,,,,
,Pembs,419,Pembroke Dock: Market,22913,Ind,Brian Hall,Death,,andrewteale.me.uk/imbx,,,,,,,
,Powys,420,Glantwymyn,22459,PC,Elwyn Vaughan MS,Resignation,Gwynedd Maldwyn,andrewteale.me.uk/ivww,,,,,,,
,Powys,420,Llanyre/Nantmel,22485,Ind,Claire Johnson-Wood MS,Resignation,"Gwynedd Maldwyn (RUK, elected as Claire Mills)",andrewteale.me.uk/inxw,,,,,,,
,Powys,420,Yscir/Honddu Isaf/Llanddew,22485,C,Iain McIntosh MS,Resignation,Brycheiniog Tawe Nedd (RUK),andrewteale.me.uk/i7xw,,,,,,,
,Rhondda Cynon Taf,409,Treorchy,22440,PC,Sera Evans MS,Resignation,Afan Ogwr Rhondda,andrewteale.me.uk/i9vw,,,,,,,
,S Lanarks,440,Larkhall,18542,Lab,Lesley McDonald,Death,,andrewteale.me.uk/i59s,,,,,,,
,S Staffs,327,Himley/Swindon,24157,C,Roger Lees,Death,,andrewteale.me.uk/ibgy,,,,,,,
,Stafford,328,Manor,17541,Lab,Angela Loughran,Death,,andrewteale.me.uk/iuds,,,,,,,
,Staffs CC,398,Stretton,25664,RUK,Barry Martin,Resignation,,andrewteale.me.uk/izuz,,,,,,,
,Surrey CC,400,Haslemere,24073,LD,John Robini,Death,,andrewteale.me.uk/i9km,,,,,,,
,Teignbridge,176,Dawlish SW,19715,LD,Mike James,Death,,andrewteale.me.uk/iqdu,,,,,,,
,Telford/Wrekin,109,Malinslee/Dawley Bank,24390,Lab,Shaun Davies MP,Resignation,Telford,andrewteale.me.uk/idpy,,,,,,,
,Thurrock,72,Grays Riverside,25870,RUK,Joe Soper,Resignation,,andrewteale.me.uk/i70z,,,,,,,
,Thurrock,72,Grays Town,25871,RUK,Marc Stanley,Resignation,,andrewteale.me.uk/i80z,,,,,,,
,Uttlesford,208,Great Dunmow N,16903,R4U,Alex Armstrong,Death,,andrewteale.me.uk/ihtr,,,,,,,
,Uttlesford,208,Stort Valley,16914,LD,Janice Loughlin,Resignation,,andrewteale.me.uk/iutr,,,,,,,
,Vale of Glamorgan,411,Baruc,22692,PC,Mark Hooper MS,Resignation,Pen-y-bont Bro Morgannwg,andrewteale.me.uk/ix3w,,,,,,,
,Waverley,347,Haslemere W,24073,LD,John Robini,Death,,andrewteale.me.uk/isdy,,,,,,,
,Waverley,347,Western Commons,24076,C,James Staunton,Resignation,,andrewteale.me.uk/ivdy,,,,,,,
