"2007 SCOTTISH LOCAL ELECTION RESULTS";;;;;;;;;;;;;;;;;;;
"District";"Ward";"Candidate";"Party";"First prefs";"Elected";;;;;;;;;;;;;;
"Aberdeen";"Hazlehead/Ashley/Queens Cross";"Martin Greig ";"LD";1901;1;;;;;;;;;;;;;;
"Aberdeen";"Hazlehead/Ashley/Queens Cross";"Jim Farquharson ";"C";1728;1;;;;;;;;;;;;;;
"Aberdeen";"Hazlehead/Ashley/Queens Cross";"Jennifer Stewart ";"LD";1614;1;;;;;;;;;;;;;;
"Aberdeen";"Hazlehead/Ashley/Queens Cross";"John West ";"SNP";1126;1;;;;;;;;;;;;;;
"Aberdeen";"Hazlehead/Ashley/Queens Cross";"Timothy Harris ";"Lab";855;;;;;;;;;;;;;;;
"Aberdeen";"Hazlehead/Ashley/Queens Cross";"Fraser Forsyth ";"C";406;;;;;;;;;;;;;;;
"Aberdeen";"Hazlehead/Ashley/Queens Cross";"Rachel Shanks ";"Grn";220;;;;;;;;;;;;;;;
"Aberdeen";"Hazlehead/Ashley/Queens Cross";"Howard Chandler ";"SSP";65;;;;;;;;;;;;;;;
"Aberdeen";"Hilton/Stockethill";"Kirsty West ";"SNP";1761;1;;;;;;;;;;;;;;
"Aberdeen";"Hilton/Stockethill";"George Adam ";"Lab";1589;1;;;;;;;;;;;;;;
"Aberdeen";"Hilton/Stockethill";"Neil Fletcher ";"LD";1068;1;;;;;;;;;;;;;;
"Aberdeen";"Hilton/Stockethill";"Charlie Pirie ";"Lab";444;;;;;;;;;;;;;;;
"Aberdeen";"Hilton/Stockethill";"Frank Webster ";"C";329;;;;;;;;;;;;;;;
"Aberdeen";"Kincorth/Loirston";"Callum McCaig ";"SNP";1883;1;;;;;;;;;;"\eject";;;;
"Aberdeen";"Kincorth/Loirston";"Katharine Dean ";"LD";1190;1;;;;;;;;;;;;;;
"Aberdeen";"Kincorth/Loirston";"Neil Cooney ";"Lab";1162;1;;;;;;;;;;;;;;
"Aberdeen";"Kincorth/Loirston";"Sue Rae ";"Lab";748;;;;;;;;;;;;;;;
"Aberdeen";"Kincorth/Loirston";"Graeme Webster ";"C";423;;;;;;;;;;;;;;;
"Aberdeen";"Kincorth/Loirston";"Angus Easton ";"LD";239;;;;;;;;;;;;;;;
"Aberdeen";"Kincorth/Loirston";"Daniel Yeats ";"Ind";179;;;;;;;;;;;;;;;
"Aberdeen";"Kincorth/Loirston";"Paul Mitcheson ";"Sol";58;;;;;;;;;;;;;;;
"Aberdeen";"Kingswells/Sheddocksley";"Wendy Stuart ";"SNP";1746;1;;;;;;;;;;;;;;
"Aberdeen";"Kingswells/Sheddocksley";"Peter Stephen ";"LD";1260;1;;;;;;;;;;;;;;
"Aberdeen";"Kingswells/Sheddocksley";"Len Ironside ";"Lab";848;1;;;;;;;;;;;;;;
"Aberdeen";"Kingswells/Sheddocksley";"Rose Clayton ";"Lab";758;;;;;;;;;;;;;;;
"Aberdeen";"Kingswells/Sheddocksley";"Bill Berry ";"C";364;;;;;;;;;;;;;;;
"Aberdeen";"Kingswells/Sheddocksley";"David Young ";"LD";135;;;;;;;;;;;;;;;
"Aberdeen";"Kingswells/Sheddocksley";"Steven Thomson ";"BNP";81;;;;;;;;;;;;;;;
"Aberdeen";"Lower Deeside";"Alan Milne ";"C";1546;1;;;;;;;;;;;;;;
"Aberdeen";"Lower Deeside";"Aileen Malone ";"LD";1538;1;;;;;;;;;;;;;;
"Aberdeen";"Lower Deeside";"Marie Boulton ";"Ind";1097;1;;;;;;;;;;;;;;
"Aberdeen";"Lower Deeside";"David Adams ";"SNP";1068;;;;;;;;;;;;;;;
"Aberdeen";"Lower Deeside";"Brian Malone ";"LD";603;;;;;;;;;;;;;;;
"Aberdeen";"Lower Deeside";"Marianne Stewart ";"Lab";583;;;;;;;;;;;;;;;
"Aberdeen";"Midstocket/Rosemount";"John Porter ";"C";1503;1;;;;;;;;;;;;;;
"Aberdeen";"Midstocket/Rosemount";"Bill Cormie ";"SNP";1431;1;;;;;;;;;;;;;;
"Aberdeen";"Midstocket/Rosemount";"Jenny Laing ";"Lab";1144;1;;;;;;;;;;;;;;
"Aberdeen";"Midstocket/Rosemount";"Steve Delaney ";"LD";671;;;;;;;;;;;;;;;
"Aberdeen";"Midstocket/Rosemount";"Jim Donaldson ";"LD";529;;;;;;;;;;;;;;;
"Aberdeen";"Midstocket/Rosemount";"Christine Chandler ";"SSP";153;;;;;;;;;;;;;;;
"Aberdeen";"Northfield";"Jackie Dunbar ";"SNP";1557;1;;;;;;;;;;;;;;
"Aberdeen";"Northfield";"Gordon Graham ";"Lab";1401;1;;;;;;;;;;;;;;
"Aberdeen";"Northfield";"Kevin Stewart ";"SNP";1050;1;;;;;;;;;;;;;;
"Aberdeen";"Northfield";"Ramsay Milne ";"Lab";587;;;;;;;;;;;;;;;
"Aberdeen";"Northfield";"Karen Freel ";"LD";302;;;;;;;;;;;;;;;
"Aberdeen";"Northfield";"Pat Wokoma ";"C";143;;;;;;;;;;;;;;;
"Aberdeen";"Tillydrone/Seaton/Old Aberdeen";"Jim Noble ";"SNP";1365;1;;;;;;;;;;;;;;
"Aberdeen";"Tillydrone/Seaton/Old Aberdeen";"Norman Collie ";"Lab";1074;1;;;;;;;;;;;;;;
"Aberdeen";"Tillydrone/Seaton/Old Aberdeen";"Sandra Macdonald ";"Lab";595;;;;;;;;;;;;;;;
"Aberdeen";"Tillydrone/Seaton/Old Aberdeen";"Richard Robertson ";"LD";585;1;;;;;;;;;;;;;;
"Aberdeen";"Tillydrone/Seaton/Old Aberdeen";"Hannah Dolan ";"C";333;;;;;;;;;;;;;;;
"Aberdeen";"Tillydrone/Seaton/Old Aberdeen";"Daniel Johnston ";"Grn";244;;;;;;;;;;;;;;;
"Aberdeen";"Tillydrone/Seaton/Old Aberdeen";"Angela McLeman ";"Sol";88;;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"Jim Kiddie ";"SNP";1900;1;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"Yvonne Allan ";"Lab";1275;1;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"Irene Cormack ";"LD";1077;1;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"Alan Donnelly ";"C";729;1;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"Ted Harris ";"Lab";348;;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"John Reekie ";"Grn";287;;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"Tony Petchey ";"LD";270;;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"Chris Cowie ";"Ind";163;;;;;;;;;;;;;;;
"Aberdeen";"Torry/Ferryhill";"Shug Falconer ";"Sol";102;;;;;;;;;;;;;;;
"Aberdeenshire";"Aboyne, Upper Deeside & Donside";"Marcus Humphrey ";"C";1444;1;;;;;;;;;;;;;;
"Aberdeenshire";"Aboyne, Upper Deeside & Donside";"Peter Argyle ";"LD";1286;1;;;;;;;;;;;;;;
"Aberdeenshire";"Aboyne, Upper Deeside & Donside";"Bruce Luffman ";"C";1009;1;;;;;;;;;;;;;;
"Aberdeenshire";"Aboyne, Upper Deeside & Donside";"Carol Douglas ";"SNP";991;;;;;;;;;;;;;;;
"Aberdeenshire";"Aboyne, Upper Deeside & Donside";"Angus Murdoch ";"Lab";196;;;;;;;;;;;;;;;
"Aberdeenshire";"Banchory & Mid Deeside";"Jill Webster ";"C";1570;1;;;;;;;;;;;;;;
"Aberdeenshire";"Banchory & Mid Deeside";"Linda Clark ";"SNP";1068;1;;;;;;;;;;;;;;
"Aberdeenshire";"Banchory & Mid Deeside";"Karen Clark ";"LD";795;1;;;;;;;;;;;;;;
"Aberdeenshire";"Banchory & Mid Deeside";"Jean Henretty ";"LD";676;;;;;;;;;;;;;;;
"Aberdeenshire";"Banchory & Mid Deeside";"Andy Brown ";"Lab";300;;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"Ian Gray ";"SNP";1088;1;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"Jack Mair ";"LD";694;1;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"John Cox ";"Ind";691;1;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"Neil Chalmers ";"C";616;;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"Kathryn Parr ";"SNP";500;;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"Sandy Buchan ";"Ind";383;;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"Jonny Barton ";"Grn";298;;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"John Calder ";"Ind";172;;;;;;;;;;;;;;;
"Aberdeenshire";"Banff & District";"Ian Page ";"Ind";94;;;;;;;;;;;;;;;
"Aberdeenshire";"Central Buchan";"Sandy Stronach ";"SNP";1096;1;;;;;;;;;;;;;;
"Aberdeenshire";"Central Buchan";"Norman Smith ";"Ind";1054;1;;;;;;;;;;;;;;
"Aberdeenshire";"Central Buchan";"Peter Chapman ";"C";933;1;;;;;;;;;;;;;;
"Aberdeenshire";"Central Buchan";"Albert Howie ";"Ind";790;1;;;;;;;;;;;;;;
"Aberdeenshire";"Central Buchan";"Norma Thomson ";"SNP";718;;;;;;;;;;;;;;;
"Aberdeenshire";"Central Buchan";"Carol Donald ";"Lab";318;;;;;;;;;;;;;;;
"Aberdeenshire";"Central Buchan";"Jim Conn ";"Ind";265;;;;;;;;;;;;;;;
"Aberdeenshire";"Central Buchan";"Betty May ";"LD";253;;;;;;;;;;;;;;;
"Aberdeenshire";"East Garioch";"Fergie Hood ";"SNP";1420;1;;;;;;;;;;;;;;
"Aberdeenshire";"East Garioch";"Martin Ford ";"LD";1054;1;;;;;;;;;;;;;;
"Aberdeenshire";"East Garioch";"Nan Cullinane ";"LD";968;1;;;;;;;;;;;;;;
"Aberdeenshire";"East Garioch";"Gordon Naismith ";"C";687;;;;;;;;;;;;;;;
"Aberdeenshire";"East Garioch";"Sheila Henderson ";"Lab";317;;;;;;;;;;;;;;;
"Aberdeenshire";"Ellon & District";"Rob Merson ";"SNP";2458;1;;;;;;;;;;;;;;
"Aberdeenshire";"Ellon & District";"Isobel Davidson ";"LD";1407;1;;;;;;;;;;;;;;
"Aberdeenshire";"Ellon & District";"Gillian Owen ";"C";872;1;;;;;;;;;;;;;;
"Aberdeenshire";"Ellon & District";"Debra Storr ";"LD";524;1;;;;;;;;;;;;;;
"Aberdeenshire";"Ellon & District";"Ann Thorpe ";"Lab";456;;;;;;;;;;;;;;;
"Aberdeenshire";"Ellon & District";"Diane Ripley ";"Ind";352;;;;;;;;;;;;;;;
"Aberdeenshire";"Fraserburgh & District";"Brian Topping ";"SNP";1487;1;;;;;;;;;;;;;;
"Aberdeenshire";"Fraserburgh & District";"Ian Tait ";"SNP";1131;1;;;;;;;;;;;;;;
"Aberdeenshire";"Fraserburgh & District";"Michael Watt ";"Ind";831;1;;;;;;;;;;;;;;
"Aberdeenshire";"Fraserburgh & District";"Andy Ritchie ";"SNP";795;1;;;;;;;;;;;;;;
"Aberdeenshire";"Fraserburgh & District";"Dennis Duthie ";"Ind";509;;;;;;;;;;;;;;;
"Aberdeenshire";"Fraserburgh & District";"Bob Sim ";"C";466;;;;;;;;;;;;;;;
"Aberdeenshire";"Fraserburgh & District";"Dominique-Paul Lonchay ";"LD";164;;;;;;;;;;;;;;;
"Aberdeenshire";"Fraserburgh & District";"James Milne ";"Ind";109;;;;;;;;;;;;;;;
"Aberdeenshire";"Huntly, Strathbogie & Howe of Alford";"Joanna Strathdee ";"SNP";1839;1;;;;;;;;;;;;;;
"Aberdeenshire";"Huntly, Strathbogie & Howe of Alford";"Moira Ingleby ";"C";1635;1;;;;;;;;;;;;;;
"Aberdeenshire";"Huntly, Strathbogie & Howe of Alford";"Richard Stroud ";"LD";978;1;;;;;;;;;;;;;;
"Aberdeenshire";"Huntly, Strathbogie & Howe of Alford";"Alastair Ross ";"LD";812;1;;;;;;;;;;;;;;
"Aberdeenshire";"Huntly, Strathbogie & Howe of Alford";"Bryan Begg ";"Lab";375;;;;;;;;;;;;;;;
"Aberdeenshire";"Huntly, Strathbogie & Howe of Alford";"Jake Williams ";"Grn";251;;;;;;;;;;;;;;;
"Aberdeenshire";"Huntly, Strathbogie & Howe of Alford";"David Hutchison ";"Ind";91;;;;;;;;;;;;;;;
"Aberdeenshire";"Inverurie & District";"Bryan Stuart ";"SNP";1515;1;;;;;;;;;;;;;;
"Aberdeenshire";"Inverurie & District";"Mike Raeburn ";"LD";1316;1;;;;;;;;;;;;;;
"Aberdeenshire";"Inverurie & District";"Martin Kitts-Hayes ";"LD";865;1;;;;;;;;;;;;;;
"Aberdeenshire";"Inverurie & District";"Richard Cowling ";"C";762;1;;;;;;;;;;;;;;
"Aberdeenshire";"Inverurie & District";"Ellis Thorpe ";"Lab";567;;;;;;;;;;;;;;;
"Aberdeenshire";"Inverurie & District";"John Sangster ";"Ind";123;;;;;;;;;;;;;;;
"Aberdeenshire";"Mearns";"Jean Dick ";"SNP";1262;1;;;;;;;;;;;;;;
"Aberdeenshire";"Mearns";"George Carr ";"C";1123;1;;;;;;;;;;;;;;
"Aberdeenshire";"Mearns";"Tom Fleming ";"LD";909;1;;;;;;;;;;;;;;
"Aberdeenshire";"Mearns";"Bill Howatson ";"LD";759;1;;;;;;;;;;;;;;
"Aberdeenshire";"Mearns";"Gill Bayfield ";"Lab";392;;;;;;;;;;;;;;;
"Aberdeenshire";"Mearns";"David Nelson ";"Ind";391;;;;;;;;;;;;;;;
"Aberdeenshire";"Mearns";"Robert Davidson ";"Ind";342;;;;;;;;;;;;;;;
"Aberdeenshire";"Mearns";"Kate Anderson ";"Grn";306;;;;;;;;;;;;;;;
"Aberdeenshire";"Mid Formartine";"Allan Hendry ";"SNP";2035;1;;;;;;;;;;;;;;
"Aberdeenshire";"Mid Formartine";"Paul Johnston ";"LD";1661;1;;;;;;;;;;;;;;
"Aberdeenshire";"Mid Formartine";"Jim Gifford ";"C";1034;1;;;;;;;;;;;;;;
"Aberdeenshire";"Mid Formartine";"John Loveday ";"LD";677;1;;;;;;;;;;;;;;
"Aberdeenshire";"Mid Formartine";"Steve Thomson ";"Lab";469;;;;;;;;;;;;;;;
"Aberdeenshire";"Mid Formartine";"Howard Kershaw ";"Ind";188;;;;;;;;;;;;;;;
"Aberdeenshire";"North Kincardine";"Alastair Bews ";"SNP";1426;1;;;;;;;;;;;;;;
"Aberdeenshire";"North Kincardine";"Carl Nelson ";"C";946;1;;;;;;;;;;;;;;
"Aberdeenshire";"North Kincardine";"Paul Melling ";"LD";864;1;;;;;;;;;;;;;;"\vfill"
"Aberdeenshire";"North Kincardine";"Ian Mollison ";"LD";619;1;;;;;;;;;;;;;;
"Aberdeenshire";"North Kincardine";"Henry Irvine-Fortescue ";"Ind";575;;;;;;;;;;;;;;;
"Aberdeenshire";"North Kincardine";"Jim Milne ";"Lab";540;;;;;;;;;;;;;;;
"Aberdeenshire";"North Kincardine";"Michelle Reid-Hay ";"Ind";162;;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead N. & Rattray";"Anne Allan ";"SNP";1018;1;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead N. & Rattray";"Alan Buchan ";"Ind";948;1;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead N. & Rattray";"Fiona McRae ";"SNP";682;1;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead N. & Rattray";"Robert Thomas ";"C";655;1;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead N. & Rattray";"Sandy Allan ";"SNP";585;;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead N. & Rattray";"Andrew Hassan ";"LD";288;;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead N. & Rattray";"Ian Cowie ";"Ind";256;;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead N. & Rattray";"Steven Will ";"Sol";112;;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead S. & Cruden";"Stephen Smith ";"SNP";1205;1;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead S. & Cruden";"Stuart Pratt ";"SNP";888;1;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead S. & Cruden";"Sam Coull ";"LD";861;1;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead S. & Cruden";"Raymond Matthew ";"Ind";535;;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead S. & Cruden";"Steven Owen ";"C";422;;;;;;;;;;;;;;;
"Aberdeenshire";"Peterhead S. & Cruden";"Veronica Johnston ";"Ind";193;;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Wendy Agnew ";"C";1433;1;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Graeme Clark ";"SNP";1086;1;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Mike Sullivan ";"LD";636;1;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Sandy Wallace ";"C";629;;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Peter Bellarby ";"LD";563;1;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Bridget O'Hare ";"Lab";463;;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Bob Michie ";"Ind";282;;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Karen Allan ";"Grn";242;;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"George Emslie ";"Ind";160;;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Ken Venters ";"Ind";108;;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"Dermot Hearty ";"Ind";85;;;;;;;;;;;;;;;
"Aberdeenshire";"Stonehaven & Lower Deeside";"David Wood ";"Ind";73;;;;;;;;;;;;;;;
"Aberdeenshire";"Troup";"Mitchell Burnett ";"SNP";1798;1;;;;;;;;;;;;;;
"Aberdeenshire";"Troup";"John Duncan ";"C";914;1;;;;;;;;;;;;;;
"Aberdeenshire";"Troup";"Sydney Mair ";"Ind";770;1;;;;;;;;;;;;;;
"Aberdeenshire";"Troup";"Ian Findlay ";"LD";286;;;;;;;;;;;;;;;
"Aberdeenshire";"Turriff & District";"Sandy Duncan ";"SNP";1916;1;;;;;;;;;;;;;;
"Aberdeenshire";"Turriff & District";"Alistair Strachan ";"C";796;;;;;;;;;;;;;;;
"Aberdeenshire";"Turriff & District";"Anne Robertson ";"LD";790;1;;;;;;;;;;;;;;
"Aberdeenshire";"Turriff & District";"Alisan Norrie ";"Ind";748;1;;;;;;;;;;;;;;
"Aberdeenshire";"Turriff & District";"Ann Sheal ";"Lab";232;;;;;;;;;;;;;;;
"Aberdeenshire";"Turriff & District";"Gary Raikes ";"BNP";87;;;;;;;;;;;;;;;
"Aberdeenshire";"West Garioch";"Allison Grant ";"SNP";1555;1;;;;;;;;;;;;;;
"Aberdeenshire";"West Garioch";"Sheena Lonchay ";"LD";973;1;;;;;;;;;;;;;;
"Aberdeenshire";"West Garioch";"Hazel Al-Kowarri ";"LD";807;1;;;;;;;;;;;;;;
"Aberdeenshire";"West Garioch";"David Clucas ";"C";694;;;;;;;;;;;;;;;
"Aberdeenshire";"West Garioch";"Ricky Simpson ";"Lab";263;;;;;;;;;;;;;;;
"Aberdeenshire";"West Garioch";"Terry Rigby ";"Ind";93;;;;;;;;;;;;;;;
"Aberdeenshire";"Westhill & District";"Gurudeo Singh Saluja ";"LD";1558;1;;;;;;;;;;;;;;
"Aberdeenshire";"Westhill & District";"Ron McKail ";"C";1306;1;;;;;;;;;;;;;;
"Aberdeenshire";"Westhill & District";"Amanda Allan ";"SNP";1230;1;;;;;;;;;;;;;;
"Aberdeenshire";"Westhill & District";"Mark Cullen ";"Ind";845;1;;;;;;;;;;;;;;
"Aberdeenshire";"Westhill & District";"Sheila Thomson ";"LD";460;;;;;;;;;;;;;;;
"Aberdeenshire";"Westhill & District";"Ona Ramsay ";"Lab";301;;;;;;;;;;;;;;;
"Angus";"Arbroath E. & Lunan";"Sheena Welsh ";"SNP";1282;1;;;;;;;;;;;;;;
"Angus";"Arbroath E. & Lunan";"Robert Spink ";"Ind";1041;1;;;;;;;;;;;;;;
"Angus";"Arbroath E. & Lunan";"Jim Millar ";"C";789;1;;;;;;;;;;;;;;
"Angus";"Arbroath E. & Lunan";"Alastair Stuart ";"Lab";677;;;;;;;;;;;;;;;
"Angus";"Arbroath E. & Lunan";"Donald Morrison ";"SNP";620;1;;;;;;;;;;;;;;
"Angus";"Arbroath E. & Lunan";"Ginny Graham ";"LD";504;;;;;;;;;;;;;;;
"Angus";"Arbroath E. & Lunan";"Ian Watson ";"Ind";281;;;;;;;;;;;;;;;
"Angus";"Arbroath W. & Letham";"David Lumgair ";"C";1322;1;;;;;;;;;;;;;;
"Angus";"Arbroath W. & Letham";"Alex King ";"SNP";1169;1;;;;;;;;;;;;;;
"Angus";"Arbroath W. & Letham";"David Fairweather ";"Ind";1117;1;;;;;;;;;;;;;;
"Angus";"Arbroath W. & Letham";"Peter Nield ";"LD";857;1;;;;;;;;;;;;;;
"Angus";"Arbroath W. & Letham";"Joan Warren ";"Lab";627;;;;;;;;;;;;;;;
"Angus";"Arbroath W. & Letham";"Brian Milne ";"SNP";565;;;;;;;;;;;;;;;
"Angus";"Arbroath W. & Letham";"Anne Sim ";"Ind";485;;;;;;;;;;;;;;;
"Angus";"Arbroath W. & Letham";"Rob Pearce ";"Ind";35;;;;;;;;;;;;;;;
"Angus";"Brechin & Edzell";"Ruth Melville ";"Ind";971;1;;;;;;;;;;;;;;
"Angus";"Brechin & Edzell";"Bob Myles ";"Ind";798;1;;;;;;;;;;;;;;
"Angus";"Brechin & Edzell";"Mairi Evans ";"SNP";765;1;;;;;;;;;;;;;;
"Angus";"Brechin & Edzell";"Joy Mowatt ";"SNP";706;;;;;;;;;;;;;;;
"Angus";"Brechin & Edzell";"Elaine Milne ";"C";373;;;;;;;;;;;;;;;
"Angus";"Brechin & Edzell";"David Adam ";"Ind";313;;;;;;;;;;;;;;;
"Angus";"Brechin & Edzell";"Ron Thoms ";"Lab";286;;;;;;;;;;;;;;;
"Angus";"Brechin & Edzell";"Helen Fleming ";"LD";185;;;;;;;;;;;;;;;
"Angus";"Carnoustie & District";"Helen Oswald ";"SNP";1837;1;;;;;;;;;;;;;;
"Angus";"Carnoustie & District";"Peter Murphy ";"Lab";1160;1;;;;;;;;;;;;;;
"Angus";"Carnoustie & District";"John Hillman ";"C";863;;;;;;;;;;;;;;;
"Angus";"Carnoustie & District";"Eddie Wilmott ";"LD";748;;;;;;;;;;;;;;;
"Angus";"Carnoustie & District";"Ralph Palmer ";"SNP";639;1;;;;;;;;;;;;;;
"Angus";"Carnoustie & District";"Alan Manley ";"Sol";62;;;;;;;;;;;;;;;
"Angus";"Forfar & District";"Colin Brown ";"Ind";1782;1;;;;;;;;;;;;;;
"Angus";"Forfar & District";"Glennis Middleton ";"SNP";1111;1;;;;;;;;;;;;;;
"Angus";"Forfar & District";"William Middleton ";"SNP";1053;1;;;;;;;;;;;;;;
"Angus";"Forfar & District";"John Rymer ";"C";878;1;;;;;;;;;;;;;;
"Angus";"Forfar & District";"Mitch Cameron ";"Lab";526;;;;;;;;;;;;;;;
"Angus";"Forfar & District";"Avril Simpson ";"LD";495;;;;;;;;;;;;;;;
"Angus";"Forfar & District";"John Phillip ";"Ind";76;;;;;;;;;;;;;;;
"Angus";"Kirriemuir & Dean";"Ian Mackintosh ";"C";2343;1;;;;;;;;;;;;;;
"Angus";"Kirriemuir & Dean";"Iain Gaul ";"SNP";1223;1;;;;;;;;;;;;;;
"Angus";"Kirriemuir & Dean";"Christine Urquhart ";"SNP";544;;;;;;;;;;;;;;;
"Angus";"Kirriemuir & Dean";"Derek Ramsay ";"Lab";462;;;;;;;;;;;;;;;
"Angus";"Kirriemuir & Dean";"Alison Andrews ";"LD";398;1;;;;;;;;;;;;;;
"Angus";"Monifieth & Sidlaw";"Frank Ellis ";"SNP";2604;1;;;;;;;;;;;;;;
"Angus";"Monifieth & Sidlaw";"Rob Murray ";"SNP";1496;1;;;;;;;;;;;;;;
"Angus";"Monifieth & Sidlaw";"John Whyte ";"C";1396;1;;;;;;;;;;;;;;
"Angus";"Monifieth & Sidlaw";"Margaret Thomson ";"Lab";1040;1;;;;;;;;;;;;;;
